Ano,Soja produzida (Toneladas)
1974,7876527
1975,9893008
1976,11227123
1977,12513406
1978,9540577
1979,10240306
1980,15155804
1981,15007367
1982,12836047
1983,14582347
1984,15540792
1985,18278585
1986,13330225
1987,16968827
1988,18016170
1989,24071360
1990,19897804
1991,14937806
1992,19214705
1993,22590978
1994,24931832
1995,25682637
1996,23166874
1997,26392636
1998,31307440
1999,30987476
2000,32820826
2001,37907259
2002,42107618
2003,51919440
2004,49549941
2005,51182074
2006,52464640
2007,57857172
2008,59833105
2009,57345382
2010,68756343
2011,74815447
2012,65848857
2013,81724477
2014,86760520
2015,97464936
2016,96394820
2017,114732101
2018,117912450
2019,114316829
2020,121820949
2021,134799179
2022,120701031
